Date,4063.T,6098.T,6501.T,6758.T,6861.T,7203.T,8001.T,8306.T,8591.T,9983.T
2022-01-05,-0.012346,-0.027684,0.036105,0.03674,0.000542,0.025733,0.01042,0.026287,0.027371,-0.012801
2022-01-06,-0.031373,-0.06319,-0.01236,-0.068621,-0.053615,-0.003272,-0.008361,-0.001055,-0.005084,-0.048899
2022-01-07,0.003796,-0.010699,0.011309,0.00588,-0.029327,0.010068,0.001686,0.034389,0.001022,-0.003449
2022-01-11,-0.022687,0.004389,0.01148,-0.009285,-0.07885,0.006284,-0.010101,0.022747,0.006943,-0.023241
2022-01-12,0.037658,0.030743,0.016657,0.007983,0.04976,0.01615,0.007653,0.003707,0.019874,0.01755
2022-01-13,-0.008949,-0.039667,-0.001595,-0.003443,-0.021338,0.022251,0.012377,0.014489,0.016703,-0.019237
2022-01-14,-0.026837,-0.04635,-0.003631,-0.01935,-0.031926,-0.009121,-0.028341,-0.008961,-0.000587,0.080656
2022-01-17,0.003351,0.010911,-0.025944,0.003171,0.000643,0.013808,0.007435,0.010879,0.001761,0.01862
2022-01-18,-0.007449,0.003107,-0.001496,-0.000351,0.0209,0.000206,-0.009651,-0.016213,0.003516,0.023656
2022-01-19,-0.025362,-0.023965,-0.043309,-0.127899,-0.022835,-0.049721,-0.008598,-0.018753,-0.028421,-0.002251
2022-01-20,0.014339,0.026558,-0.001096,0.058421,-0.001773,0.017151,0.05464,-0.009266,-0.006612,0.017296
2022-01-21,-0.020681,-0.020664,-0.012388,-0.013704,-0.020019,-0.02476,0.007401,-0.014029,0.000807,-0.003696
2022-01-24,0.001871,-0.010467,-0.00127,-0.009263,-0.010708,-0.002626,0.002177,0.016452,-0.003426,0.011723
2022-01-25,-0.032284,-0.075554,-0.018919,-0.027659,-0.021149,-0.018433,-0.002172,-0.017789,-0.041456,-0.00264
2022-01-26,-0.003033,-0.003269,-0.009075,0.011218,-0.018033,-0.006707,-0.011973,0.012619,-0.009494,-0.005588
2022-01-27,-0.023783,-0.072522,-0.025674,-0.067353,-0.023562,-0.026333,-0.014321,-0.000147,-0.02066,-0.026324
2022-01-28,0.076204,0.04224,0.015106,0.039507,0.017388,0.034212,0.015367,0.027273,0.015659,0.034174
2022-01-31,0.002369,0.054665,-0.018022,0.03964,0.015521,0.0038,0.009081,-0.01356,0.008779,-0.016155
2022-02-01,0.003676,0.00983,-0.023068,0.003931,0.020264,-0.008239,0.002727,0.010852,0.001274,-0.019704
2022-02-02,0.044479,0.03469,0.042916,0.049334,0.061774,0.02088,0.011966,0.029201,0.022684,-0.006548
2022-02-03,-0.033316,-0.01454,-0.032887,-0.060821,-0.047876,0.008797,-0.013169,0.000417,0.001658,-0.036634
2022-02-04,0.016325,-0.000521,0.009911,0.001192,-0.001165,-0.006976,0.009259,0.008898,0.016142,0.035641
2022-02-07,-0.032636,-0.015978,-0.003722,0.004762,-0.020504,-0.000878,0.003508,0.020118,0.006721,-0.015978
2022-02-08,-0.002109,0.010942,0.011039,-0.010663,-0.005105,0.009009,0.018284,0.015264,-0.014971,0.001561
2022-02-09,0.004754,0.039805,0.006383,0.004391,0.01779,0.009364,0.011355,0.001064,0.008421,0.009197
2022-02-10,0.004995,-0.014439,0.013854,0.02186,0.014454,-0.0274,0.009661,-0.008373,-0.004684,-0.006642
2022-02-14,-0.018572,-0.018058,-0.042147,-0.028005,-0.058648,-0.031943,-0.007758,0.010186,-0.03008,-0.030944
2022-02-15,-0.040512,-0.124566,-0.011516,-0.022809,0.013552,-0.013061,-0.011207,-0.026005,-0.002742,0.01043
2022-02-16,0.029722,0.01526,0.026604,0.010238,-0.003646,0.01811,0.001318,0.015938,0.005712,0.023186
2022-02-17,-0.015646,-0.057583,0.041667,-0.014187,-0.043569,-0.014595,0.013161,-0.009386,-0.000421,-0.01133
2022-02-18,-0.012058,-0.021955,-0.00439,-0.00699,-0.016582,0.010877,-0.001299,-0.016919,-0.002104,0.010047
2022-02-21,-0.028571,-0.01673,-0.018618,-0.015321,-0.027237,-0.005037,-0.002601,0.017623,-0.001265,0.001088
2022-02-22,-0.019132,0.012277,-0.035613,-0.026493,-0.005524,-0.02278,-0.011476,-0.012312,-0.023437,-0.016302
2022-02-24,0.003202,0.026383,-0.043486,-0.010367,0.007661,-0.015305,-0.021372,-0.01,-0.029406,-0.038194
2022-02-25,0.018862,0.018657,0.021288,0.030991,0.035545,0.006217,0.012672,-0.021171,-0.008911,0.017969
2022-02-28,0.006551,-0.019332,-0.001943,0,-0.012849,0.016397,-0.003461,0.007634,0.026298,0.001296
2022-03-01,0.018676,0.016808,0.002301,-0.002964,0.006694,-0.002572,0.014427,-0.016835,0.001533,0.023613
2022-03-02,-0.011111,-0.012857,-0.045382,-0.015711,-0.020502,-0.044304,-0.00237,-0.02754,-0.002624,-0.000632
2022-03-03,-0.005899,0.019434,0.010359,0.014236,0.023572,0.00417,0.031415,0.040792,0.016224,-0.011541
2022-03-04,-0.03193,-0.018455,-0.025998,-0.031476,-0.007922,-0.035662,-0.006143,-0.019174,-0.037109,-0.019674
2022-03-07,-0.063339,-0.03595,-0.068985,-0.024155,-0.038069,-0.065349,0.025753,-0.024148,-0.039883,-0.009463
2022-03-08,0.008414,-0.000857,-0.036947,0.0036,0.019884,-0.018428,-0.031886,-0.0327,-0.073046,-0.026849
2022-03-09,-0.000309,-0.044616,0.047799,-0.018834,-0.002461,0.01905,-0.013745,0.027562,0.024924,-0.006601
2022-03-10,0.097372,0.08599,0.04942,0.080439,0.030361,0.054186,0.028662,0.037641,0.075166,0.024195
2022-03-11,-0.029296,-0.038247,-0.02021,-0.025381,-0.05709,-0.043691,-0.000511,0.005284,0.000229,-0.022459
2022-03-14,0.008126,-0.011823,0.008173,-0.012153,-0.00293,0.028756,-0.004348,0.028129,0.01736,-0.014125
2022-03-15,0.012665,0.029802,0.010037,0.010984,-0.009794,0.021421,-0.002569,0.0152,0.006511,-0.0454
2022-03-16,0.006822,0.032531,0.037646,0.027379,0.034817,0.018414,0.009014,0.007214,0.020745,0.013201
2022-03-17,0.025974,0.070376,0.039227,0.038071,0.039648,0.022602,0.015059,0.025811,0.015953,0.069249
2022-03-18,0.008255,0.015482,0.032961,0.012632,0.00958,-0.007858,0.000754,0.002635,0.003657,0.005008
2022-03-22,0.00464,0.005082,0.016812,0.01167,0.001642,0.017327,0.026884,0.056366,0.043292,0.007308
2022-03-23,0.033143,0.023783,0.041842,0.021878,0.045546,0.039903,0.011745,0.003234,0.015612,0.052102
2022-03-24,0.000789,0.010792,-0.000972,0.010899,0.006447,0.029481,0.004595,-0.009546,0.000202,-0.00909
2022-03-25,0.008408,-0.004162,0.000162,-0.010011,-0.020776,-0.005,0.01637,-0.004631,-0.01456,-0.00253
2022-03-28,-0.022929,-0.021988,-0.006969,-0.010502,-0.001061,0.005939,-0.008764,-0.008803,0.020726,-0.017917
2022-03-29,0.013067,0.028242,0.00408,0.018082,0.008673,0.026794,0.012187,0.009642,0.014877,0.018728
2022-03-30,-0.00739,0.018376,0.026778,0.001549,0.004387,-0.006493,-0.003834,-0.00704,0.010535,-0.002377
