Date,4063.T,6098.T,6501.T,6758.T,6861.T,7203.T,8001.T,8306.T,8591.T,9983.T
2022-02-02,-0.183222,0.060798,0.069834,-0.10399,0.143866,-0.012788,0.389516,0.395541,0.077743,0.1627
2022-03-04,0.11785,0.602052,-0.183518,0.023153,0.157953,0.116257,0.278626,-0.229045,0.038015,0.078656
2022-04-04,0.014683,-0.227295,0.060164,0.00397,1.051646,-0.02657,0.293224,0.416611,-0.250124,-0.33631
2022-05-06,0.018097,0.038786,-0.052898,0.07313,-0.112691,-0.135556,0.195947,0.835466,-0.179912,0.319629
2022-06-03,0.087585,-0.092607,0.115626,0.031713,0.056676,-0.099569,-0.130174,0.886992,0.193702,-0.049942
2022-07-01,0.009713,-0.028552,0.045011,-0.145588,0.224411,-0.053783,0.144648,0.679172,-0.095994,0.220962
2022-08-01,0.045609,-0.008609,-0.010539,-0.163006,0.321673,0.070157,0.057779,0.701361,-0.135146,0.120721
2022-08-30,0.07428,-0.076947,0.03728,-0.020627,-0.100317,0.042333,-0.133266,0.79125,-0.055712,0.441727
2022-09-29,-0.119133,0.167658,0.068382,0.062153,-0.014321,-0.019281,0.00788,0.475815,0.000158,0.37069
2022-10-28,0.069466,-0.045286,-0.045723,-0.03574,0.134592,0.056427,-0.044429,0.397428,0.378039,0.135228
2022-11-29,-0.054362,0.091625,0.023075,-0.048254,-0.438366,0.050725,0.041744,0.350419,0.113789,0.869605
2022-12-27,0,0.128665,0,0,0.21033,0,0,0.69411,-0.346667,0.313564
