Date,4063.T,6098.T,6501.T,6758.T,6861.T,7203.T,8001.T,8306.T,8591.T,9983.T
2022-02-02,0,0.072323,0,0,0.171137,0,0,0.470518,0.09248,0.193541
2022-03-04,0,0.929621,0,0,0.243893,0,0,-0.353666,0.058698,0.121453
2022-04-04,0,-0.347266,0,0,1.606723,0,0,0.636506,-0.382144,-0.513819
2022-05-06,0,0.043034,0,0,-0.125034,0,0,0.926978,-0.199619,0.35464
2022-06-03,0,-0.09309,0,0,0.056971,0,0,0.891611,0.194711,-0.050202
2022-07-01,0,-0.028552,0,0,0.224411,0,0,0.679172,-0.095994,0.220962
2022-08-01,0,-0.008609,0,0,0.321673,0,0,0.701361,-0.135146,0.120721
2022-08-30,0,-0.076947,0,0,-0.100317,0,0,0.79125,-0.055712,0.441727
2022-09-29,0,0.167658,0,0,-0.014321,0,0,0.475815,0.000158,0.37069
2022-10-28,0,-0.045286,0,0,0.134592,0,0,0.397428,0.378039,0.135228
2022-11-29,0,0.092825,0,0,-0.444107,0,0,0.355009,0.115279,0.880995
2022-12-27,0,0.128665,0,0,0.21033,0,0,0.69411,-0.346667,0.313564
