Date,4063.T,6098.T,6501.T,6758.T,6861.T,7203.T,8001.T,8306.T,8591.T,9983.T
2022-02-02,-0.183222,0.060798,0.069834,-0.10399,0.143866,-0.012788,0.389516,0.395541,0.077743,0.1627
2022-03-04,0.109958,0.635413,-0.183518,0.021603,0.166705,0.108472,0.259967,-0.241737,0.040121,0.083015
2022-04-04,0.01776,-0.200223,0.072771,0.004802,0.926388,-0.02657,0.354668,0.36699,-0.220333,-0.296253
2022-05-06,0.025207,0.033931,-0.052898,0.101862,-0.098584,-0.135556,0.272931,0.730879,-0.15739,0.279617
2022-06-03,0.130488,-0.081895,0.172265,0.047247,0.05012,-0.099569,-0.130174,0.784389,0.171296,-0.044165
2022-07-01,0.014615,-0.025914,0.067729,-0.151605,0.203677,-0.056006,0.217656,0.616424,-0.087125,0.200548
2022-08-01,0.065701,-0.008361,-0.013431,-0.207741,0.3124,0.101065,0.083234,0.681142,-0.13125,0.117241
2022-08-30,0.096535,-0.074279,0.048449,-0.022159,-0.096838,0.055016,-0.143167,0.763814,-0.053781,0.42641
2022-09-29,-0.129105,0.167658,0.074105,0.067355,-0.014321,-0.020895,0.008539,0.475815,0.000158,0.37069
2022-10-28,0.055179,-0.045286,-0.036319,-0.028389,0.134592,0.044821,-0.035292,0.397428,0.378039,0.135228
2022-11-29,-0.026488,0.092825,0.009985,-0.023512,-0.444107,0.02195,0.018064,0.355009,0.115279,0.880995
2022-12-27,0,0.128665,0,0,0.21033,0,0,0.69411,-0.346667,0.313564
