Date,4063.T,6098.T,6501.T,6758.T,6861.T,7203.T,8001.T,8306.T,8591.T,9983.T,PORTNAME
2022-02-02,-0.183222,0.060798,0.069834,-0.10399,0.143866,-0.012788,0.389516,0.395541,0.077743,0.1627,GMV
2022-03-04,0.279198,-0.079994,-0.183518,0.054852,-0.020987,0.275425,0.660092,0.030433,-0.005051,-0.010451,GMV
2022-04-04,0.031835,-0.076376,0.130443,0.008607,0.353375,-0.02657,0.635749,0.13999,-0.084047,-0.113007,GMV
2022-05-06,0.053242,0.014786,-0.052898,0.21515,-0.04296,-0.135556,0.576476,0.318496,-0.068586,0.121849,GMV
2022-06-03,0.275681,-0.045642,0.363944,0.099818,0.027933,-0.099569,-0.130174,0.437158,0.095467,-0.024614,GMV
2022-07-01,0.022693,-0.02118,0.105161,-0.151605,0.166469,-0.056006,0.337951,0.503814,-0.071209,0.163911,GMV
2022-08-01,0.176822,-0.004721,-0.013431,-0.207741,0.176389,0.271996,0.224006,0.38459,-0.074107,0.066197,GMV
2022-08-30,0.283459,-0.04448,0.142263,-0.022159,-0.057989,0.161545,-0.143167,0.457389,-0.032205,0.255344,GMV
2022-09-29,-0.249868,0.113462,0.303121,0.275511,-0.009692,-0.04044,0.03493,0.322006,0.000107,0.250863,GMV
2022-10-28,0.247026,-0.036926,-0.095547,-0.074684,0.109745,0.200657,-0.092843,0.324059,0.30825,0.110264,GMV
2022-11-29,-0.054362,0.041256,0.131439,-0.048254,-0.197384,0.288941,0.237785,0.157784,0.051236,0.391559,GMV
2022-12-27,0.05646,0.051115,0.155531,-0.0803,0.083558,0.553017,-0.081979,0.27575,-0.137721,0.12457,GMV
2022-02-02,0,0.072323,0,0,0.171137,0,0,0.470518,0.09248,0.193541,Inst
2022-03-04,0,0.929621,0,0,0.243893,0,0,-0.353666,0.058698,0.121453,Inst
2022-04-04,0,-0.347266,0,0,1.606723,0,0,0.636506,-0.382144,-0.513819,Inst
2022-05-06,0,0.043034,0,0,-0.125034,0,0,0.926978,-0.199619,0.35464,Inst
2022-06-03,0,-0.09309,0,0,0.056971,0,0,0.891611,0.194711,-0.050202,Inst
2022-07-01,0,-0.028552,0,0,0.224411,0,0,0.679172,-0.095994,0.220962,Inst
2022-08-01,0,-0.008609,0,0,0.321673,0,0,0.701361,-0.135146,0.120721,Inst
2022-08-30,0,-0.076947,0,0,-0.100317,0,0,0.79125,-0.055712,0.441727,Inst
2022-09-29,0,0.167658,0,0,-0.014321,0,0,0.475815,0.000158,0.37069,Inst
2022-10-28,0,-0.045286,0,0,0.134592,0,0,0.397428,0.378039,0.135228,Inst
2022-11-29,0,0.092825,0,0,-0.444107,0,0,0.355009,0.115279,0.880995,Inst
2022-12-27,0,0.128665,0,0,0.21033,0,0,0.69411,-0.346667,0.313564,Inst
2022-02-02,-0.183222,0.060798,0.069834,-0.10399,0.143866,-0.012788,0.389516,0.395541,0.077743,0.1627,Linear
2022-03-04,0.109958,0.635413,-0.183518,0.021603,0.166705,0.108472,0.259967,-0.241737,0.040121,0.083015,Linear
2022-04-04,0.01776,-0.200223,0.072771,0.004802,0.926388,-0.02657,0.354668,0.36699,-0.220333,-0.296253,Linear
2022-05-06,0.025207,0.033931,-0.052898,0.101862,-0.098584,-0.135556,0.272931,0.730879,-0.15739,0.279617,Linear
2022-06-03,0.130488,-0.081895,0.172265,0.047247,0.05012,-0.099569,-0.130174,0.784389,0.171296,-0.044165,Linear
2022-07-01,0.014615,-0.025914,0.067729,-0.151605,0.203677,-0.056006,0.217656,0.616424,-0.087125,0.200548,Linear
2022-08-01,0.065701,-0.008361,-0.013431,-0.207741,0.3124,0.101065,0.083234,0.681142,-0.13125,0.117241,Linear
2022-08-30,0.096535,-0.074279,0.048449,-0.022159,-0.096838,0.055016,-0.143167,0.763814,-0.053781,0.42641,Linear
2022-09-29,-0.129105,0.167658,0.074105,0.067355,-0.014321,-0.020895,0.008539,0.475815,0.000158,0.37069,Linear
2022-10-28,0.055179,-0.045286,-0.036319,-0.028389,0.134592,0.044821,-0.035292,0.397428,0.378039,0.135228,Linear
2022-11-29,-0.026488,0.092825,0.009985,-0.023512,-0.444107,0.02195,0.018064,0.355009,0.115279,0.880995,Linear
2022-12-27,0,0.128665,0,0,0.21033,0,0,0.69411,-0.346667,0.313564,Linear
2022-02-02,-0.183222,0.060798,0.069834,-0.10399,0.143866,-0.012788,0.389516,0.395541,0.077743,0.1627,Hyper
2022-03-04,0.11785,0.602052,-0.183518,0.023153,0.157953,0.116257,0.278626,-0.229045,0.038015,0.078656,Hyper
2022-04-04,0.014683,-0.227295,0.060164,0.00397,1.051646,-0.02657,0.293224,0.416611,-0.250124,-0.33631,Hyper
2022-05-06,0.018097,0.038786,-0.052898,0.07313,-0.112691,-0.135556,0.195947,0.835466,-0.179912,0.319629,Hyper
2022-06-03,0.087585,-0.092607,0.115626,0.031713,0.056676,-0.099569,-0.130174,0.886992,0.193702,-0.049942,Hyper
